Transcript PK, Syllable PK, Sequence PK
-bɪld, yl, 1
-lɪvdlaɪvd, yv, 1
-lɪvdlaɪvd, aɪv, 2
-lʌvd, ʌv, 1
-wɒtʃɪŋ, ɒtʃ, 1
-wɒtʃɪŋ, yŋ, 2
@'jʊərəp, ʊər, 1
@'jʊərəp, əp, 2
@agness, es, 1
@arelish, el, 1
@arelon, el, 1
@biting, in, 1
@blazing, in, 1
@blurted, ur, 1
@blurted, ed, 2
@bumble, um, 1
@burrich, ur, 1
@chuckled, ed, 1
@crawled, ed, 1
@cubs, ub, 1
@cursing, ur, 1
@cursing, in, 2
@dangling, in, 1
@decliner, in, 1
@decliner, er, 2
@defector, ef, 1
@demon, em, 1
@demons, em, 1
@den, en, 1
@descendant, es, 1
@descendant, en, 2
@dinge, in, 1
@discussant, us, 1
@drumbeats, um, 1
@ene, en, 1
@filmmaker, er, 1
@finis, in, 1
@foreclosure, ur, 1
@genya, en, 1
@gunsmith, un, 1
@hastur, ur, 1
@hed, ed, 1
@hes, es, 1
@huddle, ud, 1
@huddles, ud, 1
@huddles, es, 2
@hunch, un, 1
@ingress, in, 1
@ingress, es, 2
@ketol, et, 1
@ketterdam, et, 1
@ketterdam, er, 2
@kuwei, uw, 1
@limbkins, im, 1
@limbkins, in, 2
@luchenko, en, 1
@muddy, ud, 1
@neb, eb, 1
@negotiator, eg, 1
@nudged, ud, 1
@nudged, ed, 2
@nutters, ut, 1
@nutters, er, 2
@overbuild, er, 1
@perpetrator, er, 1
@perpetrator, et, 2
@piling, in, 1
@poker, er, 1
@pounding, in, 1
@raceway, ew, 1
@raoden, en, 1
@rater, er, 1
@reassess, es, 1
@refiner, ef, 1
@refiner, in, 2
@refiner, er, 3
@regals, eg, 1
@robber, er, 1
@roused, ed, 1
@ruble, ub, 1
@rupiah, up, 1
@sarene, en, 1
@shareholding, eh, 1
@shareholding, in, 2
@shuden, ud, 1
@shuden, en, 2
@snarled, ed, 1
@speculator, ul, 1
@spinoff, in, 1
@stephanie, ep, 1
@strangling, in, 1
@sturmhond, ur, 1
@sucking, in, 1
@theres, er, 1
@theres, es, 2
@torment, en, 1
@trailed, ed, 1
@transgression, es, 1
@verde, er, 1
@vulnerability, ul, 1
@vulnerability, er, 2
@watering, er, 1
@watering, in, 2
@werent, er, 1
@werent, en, 2
@weve, ev, 1
@whimper, im, 1
@whimper, er, 2
@witchfinder, in, 1
@witchfinder, er, 2
@ə'merɪkə, er, 1
@ə'merɪkə, yk, 2
@ˌeɪ ˈem, em, 1
aɪz, aɪz, 1
aɪðə, aɪð, 1
aɪˈdentɪfaɪ, aɪd, 1
aɪˈdentɪfaɪ, en, 2
aɪˈdentɪfaɪ, yf, 3
aɪˈdɪə, aɪd, 1
aʊns, aʊn, 1
aʊst, aʊs, 1
aʊt, aʊt, 1
aʊtreɪdʒ, aʊt, 1
aʊtreɪdʒ, eɪdʒ, 2
aʊtˈsaɪdə(r), aʊt, 1
aʊtˈsaɪdə(r), aɪd, 2
aʊtˈsaɪdə(r), ər, 3
aʊəz, ʊəz, 1
baɪgɒn, aɪg, 1
baɪgɒn, ɒn, 2
baɪlætərəl, aɪl, 1
baɪlætərəl, æt, 2
baɪlætərəl, ər, 3
baɪlætərəl, əl, 4
baɪnd, aɪn, 1
baɪoʊmetrɪk, et, 1
baɪoʊmetrɪk, yk, 2
baɪoʊtek, ek, 1
baɪoʊteknɒlədʒi, ek, 1
baɪoʊteknɒlədʒi, ɒl, 2
baɪoʊteknɒlədʒi, ədʒ, 3
baɪpɑː(r)tɪzæn, aɪp, 1
baɪpɑː(r)tɪzæn, ɑːr, 2
baɪpɑː(r)tɪzæn, yz, 3
baɪpɑː(r)tɪzæn, æn, 4
baɪpɑːs, aɪp, 1
baɪpɑːs, ɑːs, 2
baɪɒlədʒi, ədʒ, 1
baɪəs, ɪəs, 1
baɪˈɒnɪks, yk, 1
baɪˈɒɡrəfi, əf, 1
baʊnd, aʊn, 1
baʊns, aʊn, 1
baʊnti, aʊn, 1
baʊt, aʊt, 1
bed, ed, 1
bedrɒk, ed, 1
bedrɒk, ɒk, 2
beg, eg, 1
beldʒən, el, 1
beldʒən, ən, 2
belt, el, 1
bend, en, 1
bentʃ, en, 1
beriəl, er, 1
berɪd, er, 1
berɪd, yd, 2
best, es, 1
bet, et, 1
beə(r), eər, 1
beəlɪ, eəl, 1
beərɪʃ, eər, 1
beərɪʃ, yʃ, 2
beɪl, eɪl, 1
beɪs, eɪs, 1
beɪslaɪn, eɪs, 1
beɪslaɪn, aɪn, 2
beɪsləs, eɪs, 1
beɪsləs, əs, 2
beɪst, eɪs, 1
beɪsən, eɪs, 1
beɪsən, ən, 2
beɪsɪk, eɪs, 1
beɪsɪk, yk, 2
beɪsɪkli, eɪs, 1
beɪsɪkli, yk, 2
beɪsɪs, eɪs, 1
beɪsɪs, ys, 2
beɪsɪz, eɪs, 1
beɪsɪz, yz, 2
bi:ɪŋ, yŋ, 1
biˈfɪtɪŋ, yt, 1
biˈfɪtɪŋ, yŋ, 2
biːf, iːf, 1
biːn, iːn, 1
biːt, iːt, 1
biːtʃ, iːtʃ, 1
bjuːt, uːt, 1
bjuːti, uːt, 1
bjuːtɪfʊl, uːt, 1
bjuːtɪfʊl, yf, 2
bjuːtɪfʊl, ʊl, 3
bjʊəroʊ, ʊər, 1
blaɪnded, aɪn, 1
blaɪnded, ed, 2
blaɪndli, aɪn, 1
blaɪndɪŋ, aɪn, 1
blaɪndɪŋ, yŋ, 2
blemɪʃ, em, 1
blemɪʃ, yʃ, 2
blend, en, 1
bleɪd, eɪd, 1
bleɪm, eɪm, 1
bleɪmd, eɪm, 1
bleɪn, eɪn, 1
bliːd, iːd, 1
bluːprɪnt, uːp, 1
bluːprɪnt, yn, 2
blæk, æk, 1
blæsfəmi, æs, 1
blæsfəmi, əm, 2
blæŋk, æŋ, 1
blɑːntʃ, ɑːn, 1
blɑːst, ɑːs, 1
blɒg, ɒg, 1
blɒk, ɒk, 1
blɒkeɪd, ɒk, 1
